id,diet_type,protein,carbs,fat
,paleo,42.18,245.32,90.32
,paleo,87.75,10.06,163.03
,paleo,57.04,62.66,77.65
,paleo,35.77,30.22,88.57
,paleo,3.28,32.7,15.37
,paleo,34.1,8.47,69.53
,paleo,114.04,148.84,128.75
,paleo,3.5,40.81,0.36
,paleo,0.1,32.29,27.63
,paleo,59.38,43.71,82.41
,paleo,41.28,497.12,285.89
,paleo,24.83,19.77,90.32
,paleo,17.82,77.84,84.12
,paleo,0.53,2.32,44.57
,paleo,80.48,404.46,410.21
,paleo,55.16,123.66,244.31
,paleo,97.63,88.59,98
,paleo,43.48,81.37,88.44
,paleo,165.31,78.63,220.89
,paleo,33.01,287.56,114.66
,paleo,21.23,203.11,42.55
,paleo,23.43,183.78,200.78
,paleo,13.92,32.74,26.53
,paleo,215.13,36.63,68.05
,paleo,61.5,8.58,184.92
,paleo,203.61,23.57,166.41
,paleo,107.83,56.13,81.39
,paleo,145.57,27.22,152.88
,paleo,255.11,99.29,170.32
,paleo,40.75,33.63,35.28
,paleo,96.62,331.56,21.46
,paleo,14.22,33.55,34.47
,paleo,91.88,3.34,163.16
,paleo,3.3,13.24,57.69
,paleo,1.77,5.8,190.1
,paleo,34.01,82.25,27.63
,paleo,283.04,85.83,108.96
,paleo,5.63,10.85,226.21
,paleo,95.83,139.93,188.95
,paleo,3.23,17.66,45.05
,paleo,97.48,19.3,119.43
,paleo,126.61,109.21,188.1
,paleo,244.91,263.45,61.97
,paleo,97.65,19.1,76.38
,paleo,14.52,80.91,90.39
,paleo,48.8,126.11,160.21
,paleo,171.35,54.47,285.53
,paleo,45.19,255.14,114.31
,paleo,106.13,43.27,214.62
,paleo,103.97,82.66,131.02
,paleo,72.33,48.97,74.65
,paleo,37.07,50.05,35.2
,paleo,16.51,257.72,52.79
,paleo,42.38,245.47,161.24
,paleo,38.03,1061.56,199.18
,paleo,32.3,14.14,106.85
,paleo,74.2,336.36,139.83
,paleo,38.49,111.57,127.66
,paleo,271.64,258.95,282.4
,paleo,105.57,129.65,146.59
,paleo,27.72,280.99,138.5
,paleo,33.1,59.46,126.68
,paleo,228.65,25.01,238.62
,paleo,26.48,44.85,16.65
,paleo,83.7,41.66,96.89
,paleo,62.83,159.42,66.35
,paleo,61.73,259.06,224.92
,paleo,129.28,693.44,243.17
,paleo,94.68,90.81,85.8
,paleo,74.81,272.62,518.78
,paleo,81.07,46.84,114.72
,paleo,173.86,79.71,130.88
,paleo,46.45,79.45,75.1
,paleo,23.39,101.95,147.65
,paleo,23.44,256.29,25.75
,paleo,4.18,14.45,50.79
,paleo,84.76,50.54,92.11
,paleo,130.93,70.55,203.75
,paleo,95.18,45.51,55.22
,paleo,38.7,122.93,71.13
,paleo,52.77,99.46,150.99
,paleo,114.46,52.87,92.38
,paleo,43.22,247.39,124.45
,paleo,60.38,223.26,160.19
,paleo,44.68,28.95,73.11
,paleo,36.84,126.43,159.07
,paleo,21.77,88.19,168.04
,paleo,47.75,59.33,157.69
,paleo,48.81,278.15,264.65
,paleo,96.21,128.43,115.48
,paleo,49.16,59.39,182.49
,paleo,14.38,177.86,141.1
,paleo,2.02,108.4,14.76
,paleo,13.86,37.92,7.02
,paleo,12.5,36.44,32.19
,paleo,208.63,137.91,54.39
,paleo,27.93,87.43,751.19
,paleo,81.02,9.13,109.01
,paleo,40.47,56.32,184.95
,paleo,96.21,128.43,115.48
,paleo,58.09,221.62,168.29
,paleo,189.22,139.79,190.27
,paleo,107.96,14.59,67.22
,paleo,110.14,57.66,168.1
,paleo,60.59,289.03,220.89
,paleo,403.14,254.68,412.96
,paleo,65.76,53.13,62.59
,paleo,184.44,249.2,24.04
,paleo,77.12,79.94,29.49
,paleo,677.22,41.71,686.9
,paleo,116.96,182.48,163.36
,paleo,90.61,10.48,51.89
,paleo,97.93,107.81,116.11
,paleo,5.4,28.18,31.71
,paleo,12.01,80.23,53.09
,paleo,191.91,161.86,143.79
,paleo,96.82,335.74,291.09
,paleo,56.99,97.39,56.34
,paleo,38.1,270.02,232.58
,paleo,8.38,178.34,297.71
,paleo,94.1,15.58,63.84
,paleo,143.36,37.65,172.61
,paleo,59.12,86.59,200.92
,paleo,32.03,272.41,57.65
,paleo,53.41,214.31,129.8
,paleo,90.72,202.74,106.32
,paleo,74.18,426.76,307.56
,paleo,81.41,257.6,233.5
,paleo,97.79,167.44,112.53
,paleo,31.06,10.09,50.9
,paleo,42.79,175.5,44.84
,paleo,111.23,259.49,110.34
,paleo,37,58.18,212.82
,paleo,22.37,38.14,42.75
,paleo,329.12,8.78,251.78
,paleo,105.65,526.6,219.56
,paleo,62.5,84.87,199.1
,paleo,226.67,21.54,221.69
,paleo,77.32,1801.16,887.91
,paleo,74.35,542.66,211.44
,paleo,77.32,349.38,266.18
,paleo,86.59,165.25,101.45
,paleo,217.07,34.17,134.74
,paleo,179.32,120.49,36.68
,paleo,102.48,104.16,59.07
,paleo,68.94,227.74,168.98
,paleo,134.14,55.22,177
,paleo,107.14,93.45,137.29
,paleo,3.26,7.35,89.83
,paleo,56.05,119.56,118.16
,paleo,104.28,42.67,56.99
,paleo,16.29,154.99,89.99
,paleo,459.83,289.66,200.26
,paleo,168.06,206.21,137.17
,paleo,33.3,254.57,86.36
,paleo,52.41,149.85,387.32
,paleo,39.65,112.8,58.12
,paleo,237.66,213.88,158.28
,paleo,135.57,96.94,107.04
,paleo,134.58,57.97,177.14
,paleo,44.44,15.24,93.04
,paleo,69.42,349.98,61.24
,paleo,52.44,304.22,97.85
,paleo,56.57,247.41,327.06
,paleo,29.64,509.13,144.51
,paleo,41.86,80.89,59.56
,paleo,189.77,141.35,74.16
,paleo,39.84,54.08,71.55
,paleo,113.18,183.36,125.59
,paleo,163.04,58.41,164.26
,paleo,334.83,207.38,333.75
,paleo,116.43,52.09,87.92
,paleo,121.64,74.55,135.13
,paleo,18.84,183.47,311.62
,paleo,68.47,66.7,85.65
,paleo,63.76,267.66,229.85
,paleo,23.05,281.18,165.66
,paleo,114.59,106.71,89.4
,paleo,58.83,330.85,126.65
,paleo,377.65,125.61,194.55
,paleo,58.81,194.28,185.23
,paleo,97.49,280.14,228.11
,paleo,38.2,228.92,94.83
,paleo,49.16,188.97,182.14
,paleo,99.33,50.03,102.87
,paleo,66.68,45.64,31.42
,paleo,17.83,143.96,192.82
,paleo,24.39,145.01,97.33
,paleo,173.53,188.85,75.26
,paleo,25.63,137.31,38.5
,paleo,61.72,116.82,136.47
,paleo,3.5,19.57,13.98
,paleo,501.65,312.39,58.06
,paleo,148.98,115.06,187.38
,paleo,110.57,36.4,308.95
,paleo,25.32,148.79,102.31
,paleo,175.1,129.3,475.09
,paleo,164.08,310.6,220.29
,paleo,396.66,91.97,209.04
,paleo,46.14,368.64,187.19
,paleo,96.67,110.45,253.55
,paleo,44.13,80.3,340.69
,paleo,51.65,88.86,137.28
,paleo,88.59,102.88,60.78
,paleo,33.75,350.04,119.19
,paleo,47.68,72.73,92.86
,paleo,409.4,101.9,415.15
,paleo,165.49,354.68,259.89
,paleo,53.5,90.16,45.21
,paleo,94.91,24.03,95.1
,paleo,63.83,61.93,58.2
,paleo,73.79,27.35,199.7
,paleo,80.9,762.78,525.09
,paleo,123.97,173.48,208.48
,paleo,106.07,148.46,94.71
,paleo,91.77,24.63,144.03
,paleo,88.18,55.1,173.29
