id,diet_type,protein,carbs,fat
,vegan,54.07,584.1,8.27
,vegan,33.4,355.7,147.51
,vegan,2.58,40.25,14.28
,vegan,51.29,101.78,127.63
,vegan,66.77,281.85,107.09
,vegan,70.95,39.43,62.98
,vegan,5.78,84.31,0.89
,vegan,107.55,480.93,253.29
,vegan,16.63,173.09,43.5
,vegan,39.05,157.15,134.2
,vegan,43.5,164.35,27.76
,vegan,39.86,167.6,36.62
,vegan,57.79,210.99,172.74
,vegan,193.15,523.06,199.57
,vegan,6.27,18.38,77.51
,vegan,36.9,128,128.65
,vegan,97.94,217.78,168.32
,vegan,20.83,236.24,117.68
,vegan,163.88,380.69,90.7
,vegan,64.58,545.79,182.41
,vegan,109.29,444.43,60.41
,vegan,27.04,203.88,72.04
,vegan,17.79,61.94,14.16
,vegan,77.95,361.1,76.6
,vegan,95.7,445.64,398.74
,vegan,41.54,127.28,418.85
,vegan,11.34,45.35,81.6
,vegan,14.5,6.77,34.26
,vegan,22.54,64.48,36.5
,vegan,79.96,381.1,254.75
,vegan,26.81,185.65,60.99
,vegan,16.63,173.09,43.5
,vegan,37.21,111.41,69.17
,vegan,102.57,315.32,37.81
,vegan,75.91,290.12,71.3
,vegan,57.35,191.42,17.06
,vegan,2.47,12.91,173.68
,vegan,87.32,258.25,259.21
,vegan,54.69,511.03,283.58
,vegan,17.4,70.76,24.13
,vegan,41.97,142.86,18.91
,vegan,14.68,48.25,45.34
,vegan,13.62,20.92,135.28
,vegan,146.79,496.75,81.22
,vegan,119.07,530.39,176.66
,vegan,8.55,164.25,92.62
,vegan,29.6,113.87,21.94
,vegan,17.31,201.34,28.75
,vegan,125.25,163.89,50.35
,vegan,29.08,129.28,68.93
,vegan,33.59,250.48,358.36
,vegan,32.24,221.1,103.54
,vegan,25.61,50.07,58.11
,vegan,74.62,161.63,11.77
,vegan,10.73,15.5,49.29
,vegan,45.41,189.76,105.4
,vegan,54.39,29.82,38.61
,vegan,66.84,319.94,135.48
,vegan,57.76,99.83,193.27
,vegan,10.34,402.59,7.31
,vegan,6.86,26.61,84.01
,vegan,69.1,147.26,30.53
,vegan,63.88,290.85,179.29
,vegan,12.53,369.55,105.65
,vegan,30.54,144.93,42.23
,vegan,60.24,155.38,44.87
,vegan,122.37,445.66,80.26
,vegan,45.55,85.84,81.32
,vegan,42.76,409.11,63.48
,vegan,57.93,304.53,130.47
,vegan,23.85,148.88,17.78
,vegan,20.82,185.35,55.76
,vegan,44.86,408.68,110.29
,vegan,115.56,354.44,204.12
,vegan,14.17,90.83,32.26
,vegan,29.91,145.23,15.92
,vegan,61.99,238.33,30.15
,vegan,63.19,453.89,357
,vegan,84.97,339.36,32.59
,vegan,92.46,214.57,116.61
,vegan,24.35,36.34,66.36
,vegan,87.99,496.82,335.19
,vegan,98.63,691.07,33.85
,vegan,11.93,38.64,69.78
,vegan,12.58,259.48,88.12
,vegan,46.97,639.42,212.42
,vegan,34.97,392.01,164.88
,vegan,51.99,239.48,95.83
,vegan,134.86,514.32,144.12
,vegan,36.43,157.33,208.54
,vegan,28.89,288.27,249.93
,vegan,68.9,30.83,70.95
,vegan,92.28,2314.02,665.2
,vegan,59.69,179.9,109.31
,vegan,7.04,90.76,3.39
,vegan,37.77,213.68,129.79
,vegan,31.1,207.84,18.92
,vegan,112.35,575.76,249.51
,vegan,27.62,110.94,35.07
,vegan,56.77,157.3,68.75
,vegan,107.45,103.38,222.45
,vegan,35.06,342.77,69.42
,vegan,79.26,308.07,131.58
,vegan,112.09,408.52,18.4
,vegan,27.68,59.25,18.02
,vegan,84.98,439.4,274.26
,vegan,52.3,443.44,47.22
,vegan,30.87,168.45,44.04
,vegan,45.98,511.58,285.24
,vegan,12.71,127.44,84.77
,vegan,113.48,482.33,37.83
,vegan,42.75,263.75,130.8
,vegan,52.69,168.76,110.68
,vegan,19.28,141.13,67.74
,vegan,84.75,33.82,112.08
,vegan,42.64,336.11,40.95
,vegan,75.35,69.27,136.84
,vegan,27.5,129.28,116.19
,vegan,42.76,30.02,25.53
,vegan,69.31,322.33,106.83
,vegan,105.55,94.95,227.09
,vegan,25.16,78.74,51.15
,vegan,23.33,58.48,125.79
,vegan,203.23,155.01,146.44
,vegan,72.17,442.77,69.4
,vegan,65.69,379.93,327.43
,vegan,45.07,364.82,232.78
,vegan,71.43,255.83,115.68
,vegan,110.61,344.48,46.11
,vegan,57.7,264.11,151.45
,vegan,39.68,202.63,9.48
,vegan,87.02,43.49,122.55
,vegan,75.65,219.09,54.16
,vegan,18.61,178.66,51.56
,vegan,30.05,156.04,107.5
,vegan,54.94,133.87,72.08
,vegan,113.42,313.22,12.41
,vegan,67.84,520.26,136.02
,vegan,46.33,133.73,2.36
,vegan,170.99,544.44,105.64
,vegan,79.87,404.91,132.08
,vegan,57.2,255.09,90.89
,vegan,181.37,572.53,54.59
,vegan,47.23,162.33,31.12
,vegan,61.79,603.55,215.47
,vegan,55.86,135.98,58.81
,vegan,31.33,303.87,42.21
,vegan,70.53,254.29,34.09
,vegan,8.47,26.41,9.87
,vegan,55.59,161.65,24.36
,vegan,79.19,398.7,470.33
,vegan,65.49,340.58,271.16
,vegan,102.78,374.81,91.03
,vegan,32.06,200.02,115.51
,vegan,30.78,43.04,132.01
,vegan,79.44,310.67,351.96
,vegan,17.94,154.04,73.94
,vegan,38.94,975.75,206.75
,vegan,22.14,253.66,219.45
,vegan,74.92,368.27,22.84
,vegan,36.15,107.22,72.8
,vegan,104.45,273.06,62.21
,vegan,15.14,143.93,108.29
,vegan,70.04,956.9,298.71
,vegan,212.76,609.53,108.18
,vegan,82.81,942.6,262.43
,vegan,45.69,339.78,67.84
,vegan,43.53,604.47,340.12
,vegan,17.2,154.45,180.78
,vegan,16.29,206.68,134.38
,vegan,37.1,306.15,77.66
,vegan,132.82,110.63,99.64
,vegan,34.73,315.21,801.39
,vegan,28.47,271.83,223.87
,vegan,42.83,360.03,54.61
,vegan,32.73,97.53,95.5
,vegan,50.62,81.39,62.87
,vegan,64.65,236.09,33.82
,vegan,71,418.03,177.94
,vegan,56.97,25.88,37.72
,vegan,42.54,161.71,55
,vegan,22.2,253.22,219.46
,vegan,37.37,347.3,87.9
,vegan,16.34,36.04,1.92
,vegan,51.89,188.64,99.61
,vegan,36.59,50.97,86.5
,vegan,83.85,497.26,304.42
,vegan,123.25,624.69,113.28
,vegan,63.96,356.1,16.77
,vegan,39.38,301.21,42.49
,vegan,76.55,333.74,32.63
,vegan,8.86,93.2,117.82
,vegan,65.91,373.92,94.34
,vegan,66.13,259.53,41.51
,vegan,100.09,831.04,179.01
,vegan,282.7,351.37,349.13
,vegan,78.61,299.8,66.66
,vegan,19.84,146.62,117.59
,vegan,116.52,408.38,173.73
,vegan,6.74,206.28,51.41
,vegan,29.78,210.49,152.54
,vegan,55.2,303.88,59.95
,vegan,29.62,206.76,42.3
,vegan,8.85,33.92,4.8
,vegan,80.1,235.31,7.74
,vegan,39.73,686.82,352.54
,vegan,53.51,161.56,19.46
,vegan,25.32,408.54,105.86
,vegan,303.66,681.96,245.27
,vegan,99.61,812.75,256.02
,vegan,67.18,126.42,168.33
,vegan,47.97,185.14,66.94
,vegan,6.67,32.45,14
,vegan,125.49,260.01,367.16
,vegan,27.64,114.23,30.7
,vegan,129.78,282.3,84.87
,vegan,50.19,470.24,154.08
,vegan,70.26,284.92,93.63
,vegan,55.98,115.89,160.31
,vegan,115.69,347.98,40.9
,vegan,20.34,253.96,98.65
,vegan,81.76,53.77,82.74
,vegan,24.71,272.95,26.66
,vegan,14.5,404.4,76.58
,vegan,41.38,190.32,76.47
,vegan,26.96,34.41,40.89
,vegan,150.3,464.12,119.07
,vegan,17.71,157.36,54.27
,vegan,35.41,104.48,84.24
,vegan,33.12,258.51,45.52
,vegan,18.51,117.15,64.52
,vegan,37.46,163.3,59.63
,vegan,47.23,183.97,66.42
,vegan,54.02,303.41,75.85
,vegan,33.02,169.41,42.68
,vegan,88.69,267.57,77.5
,vegan,161.21,531.46,26.21
,vegan,19.99,144.88,41.58
,vegan,40.71,83.13,49.37
,vegan,17.22,75.91,82.92
,vegan,24.74,156.71,107.6
,vegan,35.17,166.07,18.47
,vegan,100.27,392.87,70.17
,vegan,57.83,172.85,39.19
,vegan,39.45,285.88,109.49
,vegan,29.81,323.46,24.1
,vegan,36.6,395.9,52.33
,vegan,26.81,120.31,35.64
,vegan,28.7,376.7,56.48
,vegan,29.56,98.08,46.07
,vegan,56.37,226.91,31.65
,vegan,10.74,18.94,124.83
,vegan,22.07,156.75,49.11
,vegan,13.6,57.03,197
,vegan,34,133.4,9.01
,vegan,35.34,109.62,26.9
,vegan,70.3,187.93,32.62
,vegan,61.37,316.97,274.04
,vegan,37.03,180.61,44.77
,vegan,133.18,332.91,127.84
,vegan,56.14,170.34,81.83
,vegan,36.3,205.92,94.25
,vegan,91.05,155.31,215.85
,vegan,67.75,229.64,124.65
,vegan,44.72,195.48,34.04
,vegan,82.81,942.6,262.43
,vegan,13.34,55.4,196.91
,vegan,138.65,214.34,302.54
,vegan,48.89,133.58,108.22
,vegan,172.89,109.41,191.28
,vegan,93.69,284.36,66.49
,vegan,95.06,500.82,65.36
,vegan,5.76,154.65,42.27
,vegan,96.57,276.56,234.17
,vegan,30.43,110.1,81.2
,vegan,100,327.59,46.54
,vegan,80.52,395.26,102.03
,vegan,66.43,309.21,113.02
,vegan,28.77,26.8,36.72
,vegan,67.2,211.29,116.76
,vegan,47.23,162.33,31.12
,vegan,49.4,225.93,112.78
,vegan,22.13,75.04,6.6
,vegan,42.75,263.75,130.8
,vegan,37.46,211.74,147.84
,vegan,67.23,204.3,282.72
,vegan,70.59,564.75,78.83
,vegan,63.63,199.77,62.16
,vegan,26.33,176.83,12.93
,vegan,88.21,772.5,75.84
,vegan,31.57,444.44,162.63
,vegan,48.9,300.82,142.18
,vegan,29.04,712.15,210.64
,vegan,86.42,497.8,386.06
,vegan,25.68,158.11,103.65
,vegan,100.96,337.54,186.26
,vegan,26.62,228.04,54.43
,vegan,27.43,175.59,121.69
,vegan,63.64,156.49,170.3
,vegan,77.2,673.23,194.71
,vegan,65.41,268.37,97.67
,vegan,102.51,578.68,263.97
,vegan,73.43,1059.84,223.88
,vegan,32.73,191.92,39.61
,vegan,54.06,916.76,219.49
,vegan,95.94,460.5,120.71
,vegan,34.41,152.22,43.18
,vegan,19.6,91.74,39.84
,vegan,39.67,220.91,45.97
,vegan,43.71,165.56,91.56
,vegan,22.79,88.69,39.57
,vegan,25.99,293.33,56.32
,vegan,36.91,263.46,75.99
,vegan,60.32,323.46,333.19
,vegan,12.77,112.92,56.84
,vegan,43.32,292.33,229.46
,vegan,123.18,591.98,66.46
,vegan,71.39,635.59,83.8
,vegan,72.39,391.05,92.19
,vegan,40.99,145.69,88.66
,vegan,25.55,215.41,94.48
,vegan,167.98,551.67,21.39
,vegan,149.12,256.35,113
,vegan,88.52,225.53,98.9
,vegan,90.62,426.23,303.42
,vegan,30.81,252.81,116.54
,vegan,80.91,322.43,60.9
,vegan,20.97,83.67,19.59
,vegan,78.27,305.53,27.28
,vegan,68.96,372.57,26.63
,vegan,12.55,40.94,74.64
,vegan,49.71,65.14,96.03
,vegan,43.94,188.1,47.11
,vegan,167.2,358.87,455.11
,vegan,47.61,172.48,94.06
,vegan,37.4,726.63,235.54
,vegan,27.03,181.02,31.83
,vegan,59.98,595.67,315.33
,vegan,87.42,376.41,316.17
,vegan,53.36,194.74,139.46
,vegan,43.66,212,58.57
,vegan,81.73,310.6,118.26
,vegan,48.32,425.34,81.89
,vegan,101.87,445.89,688.94
,vegan,134.51,486.89,259
,vegan,102.57,257.64,466.14
,vegan,9.74,183.18,83.83
,vegan,98.62,443,40.15
,vegan,31.85,171.16,41.35
,vegan,18,47.86,115.43
,vegan,10.46,194.67,32.94
,vegan,171,580.93,51.33
,vegan,23.34,55.86,6.25
,vegan,37.49,199.1,58.73
,vegan,66.35,249.4,71.01
,vegan,225.55,590.44,50.12
,vegan,49.39,381.92,102.7
,vegan,37.4,726.63,235.54
,vegan,23.03,167.07,101.79
,vegan,118.09,385.66,106.3
,vegan,63.99,445.42,104.56
,vegan,67.14,203.94,87.54
,vegan,27.5,129.28,116.19
,vegan,115.47,258.63,243.6
,vegan,26.85,625.68,137.41
,vegan,317.43,703.99,534.41
,vegan,30,115.55,99.36
,vegan,66.39,327.51,151.81
,vegan,97.38,284.55,128.74
,vegan,12.97,240.28,95.85
,vegan,29.85,482.83,78.11
,vegan,46.9,136.01,90.04
,vegan,6.82,20.1,3.16
,vegan,88.15,164.82,78.16
,vegan,70.17,302.2,66.07
,vegan,26.97,147.83,5.81
,vegan,10.23,86.04,1.3
,vegan,122.34,325.46,68.41
,vegan,55.36,1063.72,621.42
,vegan,273.14,433.03,89.55
,vegan,75.31,498.92,898.55
,vegan,37.67,460.63,87.47
,vegan,10.96,123.44,15.73
,vegan,35.85,463.12,106.43
,vegan,12.93,389.9,1831.34
,vegan,96.57,251.63,30.86
,vegan,3.4,15.57,9.12
,vegan,66.05,572.85,202.78
,vegan,43.69,447.5,213.05
,vegan,125.36,322.67,170.22
,vegan,53.3,189.63,35.99
,vegan,22.66,74.51,50.5
,vegan,55.94,109.29,19.87
,vegan,41.97,402.47,162.37
,vegan,54.67,207.71,111.88
,vegan,130.67,270.48,126.89
,vegan,26.4,161.98,184.31
,vegan,125.44,610.67,332.9
,vegan,46.78,201.6,85.61
,vegan,25.38,166.43,34.64
,vegan,2.53,16.67,0.7
,vegan,23.13,253.62,48.98
,vegan,45.44,255.23,44.91
,vegan,11.96,48.23,47.49
,vegan,5.78,103.65,34.42
,vegan,38.87,199.05,9.32
,vegan,0.38,4.9,6.76
,vegan,13.56,282.89,5.09
,vegan,51.27,112.82,123.1
,vegan,6.64,265.07,3.42
,vegan,4.78,37.16,14.42
,vegan,70.88,81.86,64.78
,vegan,14.41,34.64,137.64
,vegan,35.75,172.96,95
,vegan,39.86,108.47,68.16
,vegan,74.41,185.78,142.31
,vegan,10.33,24.49,46.08
,vegan,29.12,93.28,16.66
,vegan,53.19,174.27,38.44
,vegan,14.55,52.11,22.85
,vegan,173.91,779.52,60.98
,vegan,33.95,117.22,28.08
,vegan,10.98,112.7,61.85
,vegan,11.75,46.65,41.95
,vegan,1.02,3.37,6.74
,vegan,6.27,72.05,1.17
,vegan,89.88,234.58,104.78
,vegan,98.39,331.35,36.72
,vegan,12,47.97,41.97
,vegan,47.14,46.8,154.91
,vegan,20.18,81.74,23.28
,vegan,146.81,474.58,40.73
,vegan,58.6,67.87,63.93
,vegan,36.24,277.34,126.3
,vegan,14.92,53.41,32.27
,vegan,38.9,228.69,31.37
,vegan,28.7,312.65,29.67
,vegan,22.01,64.6,57.28
,vegan,49.57,318.05,40.73
,vegan,27.61,143.46,19.33
,vegan,40.89,119.51,112.69
,vegan,65.83,370.1,76.85
,vegan,48.71,819.39,262.56
,vegan,6.59,13.61,42.48
,vegan,10.5,71.22,25.36
,vegan,17.33,176,60.98
,vegan,10.2,73.41,86.47
,vegan,34.01,168.55,21.55
,vegan,70.74,222,26.18
,vegan,71.33,454.7,9.06
,vegan,11.08,186.49,22.83
,vegan,102.28,465.63,170.32
,vegan,24.41,137.68,32.28
,vegan,25.86,42.4,84.09
,vegan,121.77,431.62,291.01
,vegan,14.53,133.36,11.26
,vegan,70.42,272.88,34.95
,vegan,92.83,143.99,76.85
,vegan,14.41,225.76,55.78
,vegan,18.12,99.9,31.15
,vegan,38.38,123.71,46.77
,vegan,45.04,349.94,318.04
,vegan,55.34,192.09,43.34
,vegan,4.81,76.54,1.69
,vegan,33.82,88.14,62.31
,vegan,96.05,125.05,37.69
,vegan,140.86,703.55,233.35
,vegan,26.33,128.24,19.96
,vegan,32.88,143.89,25.03
,vegan,39.49,126.57,47.07
,vegan,6.42,47.99,23.82
,vegan,48.6,271.55,78.89
,vegan,131.98,56.1,190.38
,vegan,60.77,194.69,122.04
,vegan,27.12,73.76,56.02
,vegan,148.12,462.54,174.66
,vegan,4.37,69.68,1.98
,vegan,46.68,276.31,102.94
,vegan,74.68,180.41,66.77
,vegan,34,89.7,59.78
,vegan,77.4,272.33,67.77
,vegan,16.25,39.91,39.3
,vegan,34.55,164.06,31.77
,vegan,84.45,227.58,59.23
,vegan,16,115.48,42.67
,vegan,27.09,20.25,31.08
,vegan,52.01,258.41,57.4
,vegan,50.3,135.85,33.68
,vegan,41.35,11.42,32.61
,vegan,51.57,187.8,72.72
,vegan,21.6,152.21,42.09
,vegan,27.2,108.07,62.82
,vegan,71.2,184.75,16
,vegan,17.97,108.25,91.53
,vegan,38.17,194.22,12.32
,vegan,56.56,269.32,155.67
,vegan,23.5,425.1,101.1
,vegan,9.87,48.35,10.98
,vegan,30.39,99.03,28.82
,vegan,67.06,97.78,8.01
,vegan,17.51,49.52,43.95
,vegan,28.77,160.17,42.8
,vegan,55.06,246.11,100.18
,vegan,51.93,283.57,91.4
,vegan,60.14,138.46,27.25
,vegan,23.27,96.18,29.35
,vegan,6.84,34.45,13.26
,vegan,48.15,374.31,1930.24
,vegan,60.56,259.79,59.97
,vegan,30.42,129.38,155.44
,vegan,42.87,80.26,34.37
,vegan,66.52,222.82,47.41
,vegan,15.05,51.05,17.71
,vegan,30.68,141.37,32.54
,vegan,46,212.41,40.19
,vegan,16.38,140.73,50.33
,vegan,24.96,50.66,9.31
,vegan,10.18,107.83,4.89
,vegan,80.17,115.44,75.36
,vegan,6.65,92,14.69
,vegan,21.29,95.81,50.29
,vegan,9.58,43.75,26.11
,vegan,14.23,19.32,10.81
,vegan,77.06,228.87,73.14
,vegan,431.1,39.47,276.51
,vegan,41.53,395.99,94.71
,vegan,37.32,445.2,117.05
,vegan,11.45,50.78,15.07
,vegan,16.01,40.09,31.17
,vegan,1.65,4.08,18.65
,vegan,15.04,78.65,74.96
,vegan,26.13,107.65,60.6
,vegan,18.14,60.4,149.24
,vegan,87.04,417.85,126.84
,vegan,41.4,171.31,23.15
,vegan,11.25,69.45,15.4
,vegan,20.68,90.56,125.12
,vegan,77.02,241.44,118.3
,vegan,64.71,293.29,70.69
,vegan,78.01,165.29,65.14
,vegan,73.91,236.99,191.25
,vegan,20.18,99.19,29.31
,vegan,38.85,152.63,26.53
,vegan,76.04,175.31,101.06
,vegan,71.61,273.57,34.28
,vegan,15.29,69.67,4
,vegan,89.8,120.96,41.04
,vegan,176.64,432.46,209.06
,vegan,11.07,41.95,42.2
,vegan,32.54,85.66,35.11
,vegan,13.54,53.94,39.2
,vegan,42.13,240.67,153.62
,vegan,165.9,333.74,548.55
,vegan,26.8,23.75,24.2
,vegan,201.31,843.44,267.99
,vegan,23.36,118.14,42.51
,vegan,16.32,101.48,30.38
,vegan,52.07,266.82,62.04
,vegan,17.49,77.86,70.2
,vegan,22.49,77.48,52.77
,vegan,21.33,185.77,33.69
,vegan,36.82,279.22,56.47
,vegan,98.97,347.21,116.32
,vegan,0.48,75.19,155.03
,vegan,57.81,24.75,42.47
,vegan,156.82,426.75,85.12
,vegan,49.15,416.81,110.81
,vegan,15.07,42.1,21.11
,vegan,18.46,110.8,10.42
,vegan,93.79,232.77,13.92
,vegan,147.05,367.86,120.65
,vegan,45.99,241.59,104.45
,vegan,80.48,352.46,142.46
,vegan,13.8,38.34,62.36
,vegan,11.57,52.41,74.19
,vegan,19.51,192.39,49.08
,vegan,32.24,133.05,34.29
,vegan,20.11,92.55,50.04
,vegan,61.46,188.94,43.4
,vegan,84.33,232.63,196.13
,vegan,5.11,106.25,1.93
,vegan,14.16,188.15,45.56
,vegan,11.24,94.37,47.86
,vegan,222.79,307.84,1042.73
,vegan,147.6,431.43,42.09
,vegan,9.39,47.36,10.47
,vegan,87.94,350.33,36.43
,vegan,109.58,533.45,39.66
,vegan,43.83,222.77,55.67
,vegan,34.11,141.84,20.31
,vegan,73.23,371.82,160.37
,vegan,1.87,21.6,4.41
,vegan,73.15,29.96,40.14
,vegan,33.15,320.19,189.16
,vegan,110.18,519.84,39.84
,vegan,24.46,16.85,1.91
,vegan,27.75,90.49,123.34
,vegan,84.58,333.89,48.88
,vegan,32.27,312.66,80.36
,vegan,122.43,334.72,54.58
,vegan,67.06,209.97,112.65
,vegan,128.98,425.86,24.86
,vegan,211.12,617.15,37.22
,vegan,19.25,94.02,28.49
,vegan,46.43,174.03,112.36
,vegan,67.53,234.06,14.49
,vegan,73.66,251.11,18.46
,vegan,12.68,80.54,68.43
,vegan,27.61,150.93,9.46
,vegan,9.88,25.24,76.3
,vegan,26.62,89.01,9.54
,vegan,45.76,218.21,22.86
,vegan,253.43,128.26,12.5
,vegan,43.75,124.7,46.01
,vegan,46.41,182.86,145.78
,vegan,37.77,162.01,62.19
,vegan,82.43,393.15,60.18
,vegan,38.08,199.4,27.49
,vegan,40.07,233.5,72.6
,vegan,95.38,399.58,45.6
,vegan,13.22,81.76,47.48
,vegan,5.66,89.79,2.18
,vegan,79.3,242.05,65.03
,vegan,31.84,118.21,296.65
,vegan,48.03,168.93,27.82
,vegan,15.96,120.62,15.11
,vegan,89.06,298.89,14.26
,vegan,31.89,162.99,116.81
,vegan,39.86,85.84,109.29
,vegan,26.4,58.48,52.18
,vegan,42.67,384.54,95.64
,vegan,52.71,195.01,46.65
,vegan,62.73,1054.37,159.57
,vegan,38.21,121.5,56.68
,vegan,5.57,39.21,14.3
,vegan,30.01,134.87,86.19
,vegan,76.4,287.4,27.47
,vegan,9.86,168.39,3.01
,vegan,32.67,143.15,30.32
,vegan,132.93,276.79,137.04
,vegan,88.04,263.7,20.91
,vegan,5.46,326.46,1.24
,vegan,2.92,12.61,0.63
,vegan,49.78,134.47,17.29
,vegan,44.49,159.15,61.72
,vegan,39.63,187.22,25.32
,vegan,119.84,191.43,53.95
,vegan,73.23,254.76,89.89
,vegan,62.05,275.99,93.62
,vegan,26.67,98.4,82.57
,vegan,43.86,24.95,34.17
,vegan,73.37,51.78,97.29
,vegan,32.97,516.13,79.82
,vegan,18.94,150.93,49.5
,vegan,45.99,265.59,132.97
,vegan,14.09,68.15,77.95
,vegan,19.96,116.01,49.17
,vegan,34.33,107.96,119.4
,vegan,43.39,90.72,95.4
,vegan,55.28,157.14,36.8
,vegan,31.28,151.92,57.22
,vegan,64.45,516.22,181.61
,vegan,103.59,601.06,169.47
,vegan,42.88,322.28,109.06
,vegan,17.46,53.43,37.31
,vegan,18.6,248.87,156.02
,vegan,49.82,230.23,66.95
,vegan,118.34,461.48,66.81
,vegan,22.09,186.31,39.09
,vegan,28.65,123.53,25.96
,vegan,109.71,374.79,157.21
,vegan,73.87,345.96,60.67
,vegan,71.8,259.72,28.1
,vegan,42.33,270.29,107.38
,vegan,77.08,309.03,45.43
,vegan,14.83,79,57.34
,vegan,36.74,100.91,130.56
,vegan,49.48,66.44,56.12
,vegan,71.24,193.75,117.33
,vegan,84.13,249.24,57.59
,vegan,153.7,174.14,182.31
,vegan,69.05,225.51,60.5
,vegan,44.55,169.93,17.37
,vegan,13.47,63.18,4.32
,vegan,71.91,730.58,0.09
,vegan,25.75,112.86,81.42
,vegan,3.43,38.47,0.31
,vegan,25.67,131.88,43.33
,vegan,99.53,467.16,68.61
,vegan,30.46,213.44,110.53
,vegan,66.39,297.87,259.06
,vegan,99.48,315.18,31.22
,vegan,34.44,181,48.88
,vegan,31.94,198.87,30.33
,vegan,15.29,60.62,81.98
,vegan,126.37,117.56,71.8
,vegan,6.45,137.75,48.82
,vegan,91.78,255.89,70.28
,vegan,59.12,224.37,60.29
,vegan,149.35,411.98,43.73
,vegan,64.31,63.69,142.94
,vegan,3.5,34.27,31.23
,vegan,59.38,209.97,32.81
,vegan,44.17,172.18,17.81
,vegan,38.18,117.41,114.49
,vegan,69.77,135.28,48.41
,vegan,114.85,276.83,160.19
,vegan,44.76,75.01,68.9
,vegan,36.81,175.89,66.91
,vegan,97.68,440.21,72.93
,vegan,45.56,469.36,233.65
,vegan,29.15,167.53,51.66
,vegan,48.67,130.15,44.12
,vegan,59.4,297.09,35.46
,vegan,50.82,207.74,89.08
,vegan,55.67,118.96,38.34
,vegan,46.21,246.43,202.85
,vegan,62.04,340.05,47.92
,vegan,72.95,157.18,65.14
,vegan,75.73,270.57,86.9
,vegan,5.29,44.03,10.04
,vegan,20.79,96.31,56.46
,vegan,127.46,364.61,229.66
,vegan,98.97,331.17,43.99
,vegan,45.55,246.68,68.46
,vegan,91.17,111.42,160.34
,vegan,79.06,64.73,74.17
,vegan,23.56,421.86,49.12
,vegan,14.75,67.01,72.71
,vegan,127.15,164.38,70.78
,vegan,64,208.35,10.35
,vegan,48.41,518.39,148.52
,vegan,9.88,40.98,30.65
,vegan,41.76,256.51,19.4
,vegan,58.84,235.58,48.83
,vegan,47.33,241.3,45.89
,vegan,119.5,247.13,98.81
,vegan,421.72,1636.67,267.25
,vegan,59.38,196.66,104.83
,vegan,6.26,33.5,55.18
,vegan,126.07,229.3,164.88
,vegan,29.17,125.36,49.62
,vegan,39.19,142.48,14.77
,vegan,3.34,19.69,67.86
,vegan,99.51,330.95,22.49
,vegan,7.92,125.36,6.46
,vegan,20.16,85.67,20.56
,vegan,94.41,129.09,412.23
,vegan,42.92,203.37,40.93
,vegan,9.16,16.16,41.83
,vegan,49.91,68.57,242.68
,vegan,46.85,81.27,131.61
,vegan,47.06,183.94,31.28
,vegan,122.64,405.33,43.13
,vegan,63.83,211.59,40.86
,vegan,40.22,496.18,35.97
,vegan,92.67,357.52,68.86
,vegan,36.29,102.42,28.8
,vegan,203.05,397.74,97.26
,vegan,17.22,204.62,24.8
,vegan,24.8,160.68,133.13
,vegan,53.49,256.92,308.86
,vegan,50.48,52.34,95.34
,vegan,86.71,237.42,95.53
,vegan,77.15,228.01,65.94
,vegan,23.13,64.29,31.52
,vegan,45.98,152.64,31.25
,vegan,57.13,259.37,52.6
,vegan,62.65,351.35,43.49
,vegan,29.52,285.85,115.17
,vegan,60.23,403.78,375.91
,vegan,32.92,349.55,252.31
,vegan,63.61,154.85,64.2
,vegan,24.81,104.19,130.69
,vegan,56.93,434.64,324.66
,vegan,27.28,135.59,51.58
,vegan,42.79,258.64,86.54
,vegan,80.09,424.04,125.3
,vegan,138,434.9,67.01
,vegan,43.91,543.24,123.1
,vegan,27.39,364.75,119.43
,vegan,121.86,507.04,158.57
,vegan,23.58,248.33,174.13
,vegan,70.76,141.49,112.43
,vegan,83.94,288.01,108.84
,vegan,12.47,172.38,71.85
,vegan,85.28,44.39,80.87
,vegan,0.36,1.83,0.1
,vegan,58.05,237.62,28.37
,vegan,76.97,301.5,97.26
,vegan,29.77,57.5,74.44
,vegan,29.35,42.31,68.44
,vegan,48.54,390.74,138.94
,vegan,152.27,798.89,84.75
,vegan,252.44,1115.32,150.17
,vegan,49.51,207.1,47.15
,vegan,88.65,188.32,96.04
,vegan,14.84,118.9,44.97
,vegan,10.25,146.75,18.23
,vegan,11.49,61.53,48.05
,vegan,104.08,384.58,73.85
,vegan,134.56,719.89,87.81
,vegan,39.75,341.75,61.86
,vegan,78.55,261.64,35.03
,vegan,53.58,198.48,112.46
,vegan,92,316.83,126.56
,vegan,72.45,357.2,30.33
,vegan,13.24,95.77,49
,vegan,93.11,546.51,72.18
,vegan,102.35,375.3,101.68
,vegan,32.57,148.59,123.4
,vegan,26.21,445.66,124.96
,vegan,57.47,182.49,20.72
,vegan,132.02,238.22,222.53
,vegan,58.55,366.33,222.47
,vegan,5.17,46.29,24.93
,vegan,32.01,974.19,55.15
,vegan,38.89,187.15,11.12
,vegan,22.16,24.7,9.29
,vegan,58.03,232.18,74.27
,vegan,83.88,491.68,44.65
,vegan,62.77,197.6,24.27
,vegan,115.35,568.37,92.32
,vegan,46.14,170.31,56.55
,vegan,34.58,204.76,101.42
